Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 13:56:59.999984	4965448.809510284	3126234.3664164473	3668534.9718555147
2024-11-01 13:57:29.999982	4949009.259302664	3306644.5921125673	3530460.692745457
2024-11-01 13:57:59.999980	4927215.429629928	3483477.3978474415	3388556.3109432743
2024-11-01 13:58:30.000019	4900090.712221566	3656541.5943671577	3242975.4767367635
2024-11-01 13:59:00.000017	4867664.402959124	3825649.382402716	3093876.440492803
2024-11-01 13:59:30.000015	4829971.45400555	3990617.9525852646	2941420.709194631
2024-11-01 14:00:00.000013	4787052.576139052	4151268.754149309	2785773.6464223918
2024-11-01 14:00:30.000012	4738954.163374353	4307427.9272588305	2627104.098871278
2024-11-01 14:01:00.000010	4685728.243909885	4458926.495617633	2465584.2114974516
2024-11-01 14:01:30.000008	4627432.424620776	4605600.553781357	2301389.238682194
2024-11-01 14:02:00.000006	4564129.829143769	4747291.448903779	2134697.3516459526
2024-11-01 14:02:30.000004	4495889.029602332	4883845.956681458	1965689.4423259713
2024-11-01 14:03:00.000003	4422783.972036477	5015116.451249448	1794548.923957389
2024-11-01 14:03:30.000001	4344893.8956124075	5140961.068792199	1621461.5286021263
2024-11-01 14:03:59.999999	4262303.245693568	5261243.864648971	1446615.1018676548
2024-11-01 14:04:29.999997	4175101.5808723313	5375834.96368976	1270199.395080199
2024-11-01 14:04:59.999996	4083383.474062878	5484610.703762274	1092405.8551618864
2024-11-01 14:05:29.999994	3987248.407782395	5587453.771998901	913427.412500185
2024-11-01 14:05:59.999992	3886800.6637337888	5684253.333815124	733458.2670534472
2024-11-01 14:06:29.999990	3782149.2068413096	5774905.154407403	552693.6729959839
2024-11-01 14:06:59.999988	3673407.5638749036	5859311.712600623	371329.72216036625
2024-11-01 14:07:29.999987	3560693.6968318187	5937382.306884063	189563.12657948426
2024-11-01 14:07:59.999985	3444129.871231264	6009033.15350855	7591.000394498745
